1327973923124879363,RT Translation Get ready locked Because lockdowns worked well Europe,DebvantVoort,2020-02-03 00:00:00,Canada
1327973940036325378,RT Donald Trump attended coronavirus task force meeting least five months said one senior administration,Our Children Deserve Better,2020-02-03 00:00:00,USA
1327973963780288512,Iran reports record daily coronavirus cases,Middle-East & Pakistan Times of News,2020-02-03 00:00:00,Pakistan
1327973972172894208,RT The actively supporting community COVID19 I met Sarsanghchalak Dr Mohan Bhagwat shar,Ashish Singh,2020-02-03 00:00:00,India
1327974004532002822,RT Important thread worth reading concerned rise Covid19 cases Delhi amp steps taken,Sachin Sharma,2020-02-03 00:00:00,India
1327974010332712960,RT Coronavirus The record high number new cases Delhi direct effect air pollution htt,is Now Pradeep_SRIRAM ™ 🏹,2020-02-03 00:00:00,India
1327974055039930369,I voted Indiana Governor Holcomb due lockdown policy I voted Libertarian,erik willey,2020-02-03 00:00:00,USA
1327974072425336832,My God become,Biden won fair and square,2020-02-03 00:00:00,USA
1327974107221159936,RT They paid 2 hour,Waves of Babies,2020-02-03 00:00:00,Canada
1327974120001138689,gon na hold leaders like Nancy Pelosi Lori Lightfoot Gavin Newsom others hyporcrites,Freckled List-erty 🔥,2020-02-03 00:00:00,USA
1327974124891803650,They Outlaw masks see people noticed Democrats want keep masks,jolady,2020-02-03 00:00:00,USA
1327974131711795200,Testosterone replacement therapy NOT appear associated worse clinical outcome men diagnosed,Journal Sexual Med.,2020-02-03 00:00:00,USA
1327974141400666112,RT Let stop calling lockdown Let call real name A genocide,erik willey,2020-02-03 00:00:00,USA
1327974148937711618,RT This excellent thread dangerous failure Sweden herd immunity COVID19 strategy Looking Tru,Gail,2020-02-03 00:00:00,Canada
1327974170949423104,RT Just kind coordination like see lives citizens stake,मुकेश शर्मा,2020-02-03 00:00:00,India
1327974184530505728,RT Thanks Donald Trump taking COVID19 seriously calling Democratic hoax maskless rallies resulte,Caligirl,2020-02-03 00:00:00,USA
1327974194395688960,RT My god,GinaTee💙,2020-02-03 00:00:00,USA
1327974208945623042,More oxygen cylinders High Flow Nasal Cannula necessary equipments made available Delhi Governm,ANI,2020-02-03 00:00:00,India
1327974225450201088,Centre also help Delhi government getting BiPAP machines increase number ICU beds Delhi,India.com,2020-02-03 00:00:00,India
1327974240109342721,COVID19 designed Biden running mate,Sandy Lacroix,2020-02-03 00:00:00,USA
1327974252084019200,RT trying conduct exams forcefully 20 days air pollution crisis amp COVID19 situation immat,Shantii,2020-02-03 00:00:00,India
1327974274456424448,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,President Elect I fight 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,2020-02-03 00:00:00,USA
1327974277870710784,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,The Blind Penguin,2020-02-03 00:00:00,USA
1327974302659055617,RT Greek police announce ban public gatherings four people hospitals overwhelmed coronavirus,#FreeSpeech,2020-02-03 00:00:00,Norway
1327974316839899138,RT After week Americans diagnosed novel coronavirus almost none backers wore,welander,2020-02-03 00:00:00,USA
1327974336721006592,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,President-Elect Batz,2020-02-03 00:00:00,USA
1327974367385460742,RT Just kind coordination like see lives citizens stake,पंडित संदीप वत्स,2020-02-03 00:00:00,India
1327974379574226950,RT Deaths per million lockdown Sweden versus human insane authoritarian lockdown EU Would,erik willey,2020-02-03 00:00:00,USA
1327974384426913792,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,President-Elect DMSOB,2020-02-03 00:00:00,USA
1327974395697127426,RT The German Government new COVID19 campaign clever dare I say funny,Annadanna,2020-02-03 00:00:00,Canada
